id,category_id,question_code,question_number,question_text,check_box,max_select,block_number,block_text,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
17,1,1_4,4," When you let your mind wander, which future sparks your curiosity?

If you could solve any problem in the world, which one would you choose?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,A,1_4_A,A. A problem at school or in my community.,→ Purpose starts close to home.,,,,
18,1,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,B,1_4_B,"B. A problem in science, health, or the environment.",→ Curiosity grows when you look at big challenges.,,,,
19,1,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,C,1_4_C,C. A problem people don’t even notice yet.,→ That’s where innovation is born.,,,,
20,1,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,D,1_4_D,D. I’m still figuring it out — but I want to make a difference.,→ Even the dream of solving is a spark.,,,,
21,1,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,OTHER,1_4_OTHER,Other,,,,,
22,1,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,A,1_5_A,A. Make life easier for people.,,,,,
23,1,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,B,1_5_B,B. Protect nature.,,,,,
24,1,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,C,1_5_C,C. Help people feel better — mentally or physically.,"→ Caring for others creates a ripple effect you might not see right away, but it lasts. You could write a book, make a movie, compose a song — whatever speaks to you.",,,,
25,1,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,D,1_5_D,D. Combine things no one has ever put together.,→ Innovation comes from unexpected combos. Go through your passions — sometimes the best idea is putting two totally different things together.,,,,
26,1,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,OTHER,1_5_OTHER,Other,,,,,
27,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,A,1_6_A,A. Share it with a friend or mentor.,,,,,
28,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,B,1_6_B,B. Make a checklist. Dates turn wishes into steps.,"→ Every dream grows through small, steady steps.",,,,
29,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,C,1_6_C,C. Learn one new thing that connects to it.,,,,,
30,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,D,1_6_D,D. Remember why this dream matters to me.,,,,,
31,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,OTHER,1_6_OTHER,Other,,,,,
32,1,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,A,1_7_A,A. The one that felt the easiest.,,,,,
33,1,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,B,1_7_B,B. The one that felt the hardest — but you liked the challenge.,,,,,
34,1,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,C,1_7_C,C. The one with the best teacher.,,,,,
35,1,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,D,1_7_D,D. The one that connected to real life.,→ Asking about the past makes family stories come alive.,,,,
36,1,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,OTHER,1_7_OTHER,Other,,,,,
37,1,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,A,1_8_A,A. Saying yes to something unexpected.,,,,,
38,1,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,B,1_8_B,B. Switching paths when you thought it was too late.,,,,,
39,1,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,C,1_8_C,C. Taking advice that changed your direction.,,,,,
40,1,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,D,1_8_D,D. Choosing courage instead of comfort.,→ Their surprises can become your guideposts.,,,,
41,1,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,OTHER,1_8_OTHER,Other,,,,,
42,1,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,A,1_9_A,A. A subject you didn’t get to try.,,,,,
43,1,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,B,1_9_B,B. A subject that felt too hard at the time.,,,,,
44,1,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,C,1_9_C,C. A subject you secretly liked but ignored.,,,,,
45,1,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,D,1_9_D,D. A subject that’s important now but wasn’t then.,→ Regret is just wisdom looking backward.,,,,
46,1,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,OTHER,1_9_OTHER,Other,,,,,
47,2,2_1,1,"“Status: undefined, but not unloved.”
Not all love lives are loud.
Some are still forming, healing, daydreaming, or blooming when no one’s watching.
What’s yours trying to say right now?

If your love life had a status update, what would it say?",FALSE,1,1,Do They Like Me?,A,2_1_A,"A. Unpaired. Unbothered. Still in orbit.
","A. Some people search. You radiate.
If someone gets pulled in—it’s not luck. It’s gravity.
","🪐 You’re the whole planet.
Not a moon. Not a satellite.
Just spinning your own story till someone’s worth the ride.",,,1
48,2,2_1,1,"If your love life had a status update, what would it say?",FALSE,1,1,Do They Like Me?,B,2_1_B,B. Pairing mode on. Still blinking …,"B. 🔎 It’s okay if no one’s synced yet. Some Bluetooths just take a sec.
(W for curiosity without clutching.)","Ever notice how devices pair faster when both sides are ready?
Same with people. Your job isn’t to chase—it’s to stay clear, kind, and open.
The right signal will find you.",,,1
49,2,2_1,1,"If your love life had a status update, what would it say?",FALSE,1,1,Do They Like Me?,C,2_1_C,C. Connected. Kinda laggy. But we’re updating.,"C. 📶 Loving while buffering? That’s a real skill.
You're allowed to be in it and fixing it.
(W for troubleshooting love in real time.)",💞 You don’t have to define it right away. Just stay present.,,,1
50,2,2_1,1,"If your love life had a status update, what would it say?",FALSE,1,1,Do They Like Me?,D,2_1_D,D. Patch notes dropping soon. Heart.exe rebooting.,D. Healing isn’t a pause. It’s a power move.,🛠 Take your time. Love isn’t the goal—knowing yourself is.,,,1
51,2,2_1,1,"If your love life had a status update, what would it say?",FALSE,1,1,Do They Like Me?,OTHER,2_1_OTHER,Write your own,,,,,1
52,2,2_2,2,What kind of love do you believe in?,FALSE,1,2,"Small Moves, Big Feels
[playlist:Love]",A,2_2_A,A. Quiet and safe.,A. You believe in love that doesn’t need to perform. The kind that sits beside you in silence and still feels warm.,Safety in love doesn’t mean nothing happens—it means nothing hurts you in secret. Keep looking for the kind of love that holds still and stays true.,Love Belief,,1
53,2,2_2,2,What kind of love do you believe in?,FALSE,1,2,"Small Moves, Big Feels
[playlist:Love]",B,2_2_B,B. Slow and real.,"B. You believe in love that isn’t rushed. It takes time, trust, and mutual respect—not fireworks, but something you can actually count on.",Love isn’t luck. It’s built choice by choice. And the kind that respects your independence and roots itself in honesty? That’s the kind that lasts.,Love Belief,,1
54,2,2_2,2,What kind of love do you believe in?,FALSE,1,2,"Small Moves, Big Feels
[playlist:Love]",C,2_2_C,C. Laughs even when it’s hard.,"C. You believe in love that knows how to lift. The kind that survives through joy, inside jokes, and not taking everything so seriously.",Laughter isn’t the opposite of depth—it’s the doorway to it. Keep believing in the kind of love that makes the hard parts feel a little lighter.,Love Belief,,1
55,2,2_2,2,What kind of love do you believe in?,FALSE,1,2,"Small Moves, Big Feels
[playlist:Love]",OTHER,2_2_OTHER,Other,,,,,1
56,2,2_3,3,"Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself.
You deserve people who don’t just like you—but protect your peace.
What makes you feel safe with someone?",TRUE,10,3,Kind of a Couple,A,2_3_A,A. They don’t pressure me. Period.,"A. You feel safe when your “no” is respected—immediately, and without guilt. It’s not just about rules—it’s about feeling like you’re in control of your own body, time, and value.","Pressure doesn’t always sound loud. Sometimes it hides in guilt or silence. But you’re allowed to pause, say no, or change your mind—at any time. That’s real safety.",Emotional Safety,,1
57,2,2_3,3,What makes you feel safe with someone?,TRUE,10,3,Kind of a Couple,B,2_3_B,B. I can say real stuff—and they actually hear it.,"B. You feel safe when someone lets you speak without trying to fix you, defend themselves, or shut it down. That kind of listening builds real trust.",A good listener doesn’t just hear your words—they make space for your feelings. You don’t need someone who’s perfect. You need someone who stays kind when it matters.,Emotional Safety,,1
58,2,2_3,3,What makes you feel safe with someone?,TRUE,10,3,Kind of a Couple,C,2_3_C,C. No games. No signals. Just real.,"C. You feel safest with people who are real. No status tricks, no disappearing acts—just honesty and consistency.",Games aren’t romantic. Clarity is. Keep choosing people who show up clearly—your peace is worth more than their mystery.,Emotional Safety,,1
59,2,2_3,3,What makes you feel safe with someone?,TRUE,10,3,Kind of a Couple,OTHER,2_3_OTHER,Also this:,,,,,1
60,2,2_4,4,"Which meet-cute(s) would you totally fall for?
(Pick all that make your heart do the thing 💘)",TRUE,10,1,Do They Like Me?,A,2_4_A,A. Reaching for the same book at a bookstore,,,,,1
61,2,2_4,4,What’s your ideal meet-cute?,TRUE,10,1,Do They Like Me?,B,2_4_B,"B. Bumping into each other at a concert, literally",,,,,1
62,2,2_4,4,What’s your ideal meet-cute?,TRUE,10,1,Do They Like Me?,C,2_4_C,C. Wrong text that turns into a real convo,,,,,1
63,2,2_4,4,What’s your ideal meet-cute?,TRUE,10,1,Do They Like Me?,D,2_4_D,D. Assigned to sit next to each other in class,,,,,1
64,2,2_4,4,What’s your ideal meet-cute?,TRUE,10,1,Do They Like Me?,OTHER,2_4_OTHER,Write your own plot twist.,,,,,1
65,2,2_5,5,"Real love isn’t about perfect.
It’s about the little weird things that make someone feel weirdly right.
What’s your crush ick you secretly find cute?",TRUE,10,3,Kind of a Couple,A,2_5_A,A. Laughs at their own jokes,,,,,1
66,2,2_5,5,What’s your crush ick you secretly find cute?,TRUE,10,3,Kind of a Couple,B,2_5_B,B. Gets weird saying hi. Still tries.,,,,,1
67,2,2_5,5,What’s your crush ick you secretly find cute?,TRUE,10,3,Kind of a Couple,C,2_5_C,C. Awful at texting. Sends novels out of nowhere.,,,,,1
68,2,2_5,5,What’s your crush ick you secretly find cute?,TRUE,10,3,Kind of a Couple,D,2_5_D,D. That one hoodie? Always. Still cute.,,,,,1
69,2,2_5,5,What’s your crush ick you secretly find cute?,TRUE,10,3,Kind of a Couple,OTHER,2_5_OTHER,Else,,,,,1
70,2,2_6,6,What do you imagine when you think about your first love?,TRUE,10,1,Do They Like Me?,A,2_6_A,A. All touch. All spark. Like we don’t need anyone else.,A. You’re not looking for ordinary. You want a love that stirs something deep—something you can feel in both your body and your heart.,"Big feelings don’t make you naive. Just make sure the closeness feels safe, mutual, and kind. Real love doesn’t just feel intense—it feels good after the moment passes, too.",,,1
71,2,2_6,6,What do you imagine when you think about your first love?,TRUE,10,1,Do They Like Me?,B,2_6_B,B. Someone who sees me. We both grow.,"B. You’re imagining love as partnership. A steady bond where you’re seen, challenged, and supported. You want something real—not just romantic.","That kind of love takes time, trust, and truth. Don’t rush it. Keep growing into yourself—and you’ll attract someone who’s doing the same.",Romantic Expectations,,1
72,2,2_6,6,What do you imagine when you think about your first love?,TRUE,10,1,Do They Like Me?,C,2_6_C,C. A sign that I’m lovable—something to show others I’m not left out.,C. You’re not just dreaming of someone—you’re dreaming of being chosen. Of not being the only one without a hand to hold.,"It’s human to want proof that you matter. But love isn’t a trophy. The more you believe you’re enough without it, the more likely it finds you for the right reasons.",Romantic Expectations,,1
73,2,2_6,6,What do you imagine when you think about your first love?,TRUE,10,1,Do They Like Me?,D,2_6_D,"D. Freedom from my family—a way to feel older, more in control of my life. ","D. For you, love feels like a ticket out. Not just romance—but independence, a chance to start living on your terms.","Wanting freedom is real—and love can feel like a way out. But if you never had space to find your voice at home, a relationship won’t magically give it to you. Build that voice now, so love adds to your life, not replaces it.",Romantic Expectations,,1
74,2,2_6,6,What do you imagine when you think about your first love?,TRUE,10,1,Do They Like Me?,OTHER,2_6_OTHER,"None of these, but something.
",,,,,1
75,2,2_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,10,1,Do They Like Me?,A,2_7_A,A. “You make me want to be better.”,,,,,1
76,2,2_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,10,1,Do They Like Me?,B,2_7_B,B. “It’s always been you.”,,,,,1
77,2,2_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,10,1,Do They Like Me?,C,2_7_C,C. “I didn’t know what home felt like until you.”,,,,,1
78,2,2_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,10,1,Do They Like Me?,D,2_7_D,"D. “I love you, just as you are.”",,,,,1
79,2,2_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,10,1,Do They Like Me?,OTHER,2_7_OTHER,Other,,,,,1
80,2,2_8,8,How do you act when your crush is nearby?,TRUE,10,1,Do They Like Me?,A,2_8_A,"A. I avoid eye contact, freeze up, or pretend I don’t notice them.",A. You’re protecting your heart—and that makes sense. Sometimes just surviving the moment feels like a win.,"You’re not wrong for playing it safe. But even a small step—a glance, a smile—can start to make space for something better.",Romantic Reactions,,1
81,2,2_8,8,How do you act when your crush is nearby?,TRUE,10,1,Do They Like Me?,B,2_8_B,B. I act normal or try to be friendly—maybe say hi or ask something casual.,"B. You’re doing your version of brave. Calm on the outside, maybe nervous underneath—but still showing up. That’s real strength.","Keep trusting those tiny steps. Whether it’s a smile, a wave, or just not panicking—you’re building something steady inside—courage, calm, trust. That matters.",Romantic Reactions,,1
82,2,2_8,8,How do you act when your crush is nearby?,TRUE,10,1,Do They Like Me?,C,2_8_C,C. I get louder or funnier without even realizing it.,C. You’re turning up the volume on your charm.,🎭 Just make sure it feels like you—not just a performance.,Romantic Reactions,,1
83,2,2_8,8,How do you act when your crush is nearby?,TRUE,10,1,Do They Like Me?,D,2_8_D,D. I over analyze everything I say—or don’t say anything at all.,D.  Your brain is trying to protect your heart.,🧠 Try focusing on what you’re curious about in them—not just how you sound.,,,1
84,2,2_8,8,How do you act when your crush is nearby?,TRUE,10,1,Do They Like Me?,OTHER,2_8_OTHER,My version:,,,,,1
85,2,2_9,9,How do you show someone you like them? [playlist:Love],TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,2_9_A,"A. I hover nearby—walk past, sit close, save a spot. Hope they load the hint.","A. You don’t say much, but you orbit. You put yourself in their line of sight and hope the feeling shows—even if your words don’t.","There’s nothing wrong with being subtle. But if you want to be seen for real, try moving from background to hello. You don’t have to do it perfectly—just honestly.",Crush Expression,,1
86,2,2_9,9,How do you show someone you like them?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,2_9_B,"B. I ask stuff, get details, and try to show up when it hits different.","B. You show care by noticing—what they like, how they feel, what matters to them. That kind of presence is rare.",Listening well is how some people say ‘I like you’ without using words. Just make sure your voice gets heard too. Real connection means both people get to be known.,Crush Expression,,1
87,2,2_9,9,How do you show someone you like them?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,2_9_C,"C. I bring snacks, drop small gifts. Mostly to pretend I’m cool.","C. You show how you feel with quiet actions—offering a pen, saving your best chips, writing their name on a little note. You’re not saying it out loud, but you’re making it clear.","Giving is beautiful. But so is naming what you feel. Love’s a loop—and you get to speak, not just give.",Crush Expression,,1
88,2,2_9,9,How do you show someone you like them?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,2_9_OTHER,Other,,,,,1
89,2,2_10,10,What do you wish someone you like understood about you?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,2_10_A,"A. Feelings? Yeah, they’re in there. Just behind six layers of nope.",A. You feel the spark. But opening up feels risky.,You don’t have to say it all. Try: “Sometimes I care more than I admit.” It plants a truth gently.,,,1
90,2,2_10,10,What do you wish someone you like understood about you?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,2_10_B,B. Like me for me—not just the highlight reel.,B. You’re not trying to impress—you’re trying to be seen.,"You could ask, “What do you actually like about me?” That answer might teach you everything.",,,1
91,2,2_10,10,What do you wish someone you like understood about you?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,2_10_C,C. Not dating. Still wanna stand close in a hallway for no reason.,C. Closeness without labels is still real.,Try: “I like talking to you—I just want to take things slow.” That’s honesty with care.,,,1
92,2,2_10,10,What do you wish someone you like understood about you?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",D,2_10_D,D. I care deeply. I just express it weird.,D. You’re more action than talk—and that’s valid.,"Start small: “I don’t always say stuff right, but I mean it.” That’s a feeling in disguise.",,,1
93,2,2_10,10,What do you wish someone you like understood about you?,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,2_10_OTHER,More:,,,,,1
94,2,2_11,11,"What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?
You’re not asking for too much. You’re just done playing chill when you need real.",TRUE,10,3,Kind of a Couple,A,2_11_A,A. They call me sensitive instead of listening.,,,,,1
95,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,10,3,Kind of a Couple,B,2_11_B,B. They’re sweet and affectionate—but avoid deeper connection,,,,,1
96,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,10,3,Kind of a Couple,C,2_11_C,C. They flirt with others ,,,,,1
97,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,10,3,Kind of a Couple,D,2_11_D,D. Go quiet the second things get real.,,,,,1
98,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,10,3,Kind of a Couple,E,2_11_E,E. Make me feel clingy for wanting actual connection.,,,,,1
99,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,10,3,Kind of a Couple,OTHER,2_11_OTHER,Other,,,,,1
100,2,2_12,12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters.
When your crush likes someone else",TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,2_12_A,A. Scheduled a breakdown. Showed up on time.,,,,,1
101,2,2_12,12,When your crush likes someone else,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,2_12_B,B. Sent a dramatic text. No follow-up.,,,,,1
102,2,2_12,12,When your crush likes someone else,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,2_12_C,C. I’m moving on. One doom scroll at a time.,,,,,1
103,2,2_12,12,When your crush likes someone else,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",D,2_12_D,D. Turned it into fiction. Gave myself the better ending.,"You turned heartbreak into humor—and that’s more than coping. That’s transformation.
Keep writing. Keep flipping the script. You deserve a story too.",,,,1
104,2,2_12,12,When your crush likes someone else,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",E,2_12_E,E. I healed via carbs. No notes.,,,,,1
105,2,2_12,12,When your crush likes someone else,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,2_12_OTHER,Other,,,,,1
106,2,2_13,13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments.
You don’t need to do it perfectly. Just honestly.

What made your old love finally feel… less loud?",TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",A,2_13_A,A. Time,,,The Replayer (Overthinker),,1
107,2,2_13,13,What made your old love finally feel… less loud?,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",B,2_13_B,"B. Journal, meditation, self-reflection and fully process my emotions, forgiveness, and gratitude",,,,,1
108,2,2_13,13,What made your old love finally feel… less loud?,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",C,2_13_C,"C. Talking to friends, family members, and/or therapists",,,,,1
109,2,2_13,13,What made your old love finally feel… less loud?,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",D,2_13_D,D. Someone new,,,Romantic Heartbreak,,1
110,2,2_13,13,What made your old love finally feel… less loud?,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",E,2_13_E,"E.  A new chapter in life outside romance.  I poured energy back into myself—my goals, my joy, my life. ",,,Romantic Heartbreak,,1
111,2,2_13,13,What made your old love finally feel… less loud?,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",OTHER,2_13_OTHER,Other,,,,,1
112,2,2_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,2_14_A,A. I fade like Wi-Fi in a tunnel.,"A. Rejecting someone feels heavy. You don’t want to hurt them, so you disappear instead—hoping they’ll get the message without pain.","Backing off feels easier, but it can leave more confusion. A kind, simple “I don’t feel the same” can be a relief, not a wound. You’re allowed to say no—and still be good.",Romantic Boundaries,,1
113,2,2_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,2_14_B,"B. I hit them with the “You’re great, but not like that” speech.","B. You handle hard things with care—and that takes maturity. You’re not cruel, just clear. That’s rare and really respectful.",Staying kind while being honest is a gift to you and them. You’re showing someone how to be treated—with dignity and clarity. That’s worth practicing.,Romantic Boundaries,,1
